# anchorsX, anchorsY
5.391457616882562434e+03,1.546542261401261203e+04
5.403637082874233784e+03,1.530573537548396962e+04
5.413378794815313995e+03,1.519771996545641741e+04
5.419873985320737120e+03,1.511938435789089817e+04
5.420741804737523125e+03,1.511194772043621560e+04
5.427797990508445764e+03,1.522311721201078763e+04
5.441484155093140544e+03,1.579003795385356534e+04
5.443408416996648157e+03,1.588927111362698452e+04
5.451339555486919380e+03,1.603580960512881029e+04
5.453858493595231266e+03,1.614790706433562809e+04
5.462560956747376622e+03,1.651249882180018540e+04
5.470255424914747891e+03,1.639935058573838251e+04
5.472700958509844895e+03,1.635038476064033239e+04
5.480921574794121625e+03,1.642841265349792593e+04
5.485695189039071920e+03,1.657569346696844514e+04
5.492744318016788384e+03,1.654833951823762618e+04
5.500040991766512889e+03,1.650186786858915366e+04
5.503977514501403675e+03,1.661069678790679245e+04
5.506575877079832026e+03,1.672521980564212936e+04
5.510443555628253307e+03,1.675398849615150903e+04
5.520469886522762863e+03,1.692207338357966000e+04
5.524153847985582615e+03,1.696062575291595931e+04
5.532811609818419129e+03,1.707087579983666001e+04
5.535349730954516417e+03,1.716500051210238598e+04
5.538470907624604479e+03,1.708513450445199487e+04
5.549325596579056764e+03,1.728133786213861822e+04
5.552074999522052167e+03,1.739456575247534056e+04
5.557272033320727132e+03,1.743499754709433910e+04
5.560730150863763811e+03,1.751052389897542525e+04
5.565731071620180046e+03,1.745519601250377673e+04
5.575997488779211380e+03,1.747384993810223386e+04
5.582455035696119012e+03,1.755067784673993083e+04
5.585509619480521906e+03,1.752736935219801308e+04
5.592808266058965273e+03,1.765226030463900315e+04
5.607864385762753045e+03,1.799205922630993882e+04
5.612327343893678517e+03,1.804895221517474420e+04
5.612851529963164467e+03,1.802920900676645761e+04
5.614611655579786202e+03,1.796582662045976394e+04
5.622060844120646834e+03,1.791999755843474122e+04
5.630233502416073861e+03,1.805455196529213936e+04
5.641023423869517501e+03,1.807867486137369633e+04
5.644976120461425126e+03,1.795739822063333122e+04
5.648394610944005763e+03,1.791927265102119418e+04
5.648969271158003721e+03,1.791617383734510076e+04
5.650523972904856237e+03,1.787745223097923372e+04
5.654568200232740310e+03,1.779844007952810352e+04
5.657794343038841362e+03,1.776406719926313599e+04
5.666330790784330020e+03,1.794831159694527378e+04
5.670528186093521072e+03,1.799354974184642560e+04
5.673820209888343925e+03,1.790311600255378653e+04
5.679510073890794956e+03,1.784133481998024217e+04
5.686741866045482311e+03,1.789303778515545491e+04
5.693137766525200277e+03,1.795860365133522646e+04
5.695378980595894973e+03,1.801811502387034125e+04
5.697098475636928924e+03,1.802307003966832053e+04
5.698618903529555610e+03,1.802774052686390496e+04
5.701271120412917298e+03,1.804859329073843764e+04
5.706246164974501880e+03,1.800714021219662391e+04
5.715036808827338064e+03,1.833858528464942356e+04
5.717362924994303285e+03,1.840360246007976457e+04
5.720901579879320707e+03,1.852814200757236540e+04
5.724003279345814917e+03,1.866293839135648159e+04
